1	16.2767
6	62.5777
12	25.0747
9	26.2978
4	84.3928
8	39.7421
10	10.4579
2	19.3854
7	36.3070
11	87.4534
9	59.9770
3	25.8113
5	35.8428
7	88.7540
1	90.0531
5	44.7952
3	26.8851
6	55.3815
10	17.8848
5	85.9702
7	23.1976
2	16.8105
11	2.6723
3	32.2431
5	55.5165
8	82.4529
10	80.4248
3	2.4408
7	37.1506
12	49.1870
9	46.6052
1	4.1714
1	61.7002
6	57.8033
6	29.8809
6	43.5666
2	13.6633
5	29.9721
11	76.1375
9	3.5303
6	26.9500
11	99.6269
2	44.6946
3	15.2785
12	88.6228
2	3.1380
5	11.6035
4	25.0855
1	75.9675
3	89.8310
6	22.3420
4	67.3299
9	81.8786
3	94.8930
12	87.4315
4	39.3736
2	93.6962
7	43.6896
10	16.2523
6	30.9821
12	68.1109
6	93.4055
4	94.7389
3	59.9083
12	94.8874
3	40.4018
5	4.1032
3	29.3826
4	3.1939
6	86.4513
12	43.2546
11	9.2809
7	13.7792
8	24.1971
1	22.3009
7	86.7740
11	76.4177
6	34.4714
5	38.4780
2	59.4865
8	53.5121
12	33.3556
9	85.4683
6	26.5644
8	93.3940
8	38.9834
9	68.3065
8	27.5010
7	2.7958
12	94.0613
8	53.3970
8	67.1173
9	60.7535
11	75.0873
5	98.1322
9	72.7670
7	85.7321
5	99.1843
6	75.9460
9	14.6041
3	32.6305
12	2.8786
12	69.4551
4	95.8757
5	72.9047
12	73.6754
10	17.4611
10	35.5410
8	57.4649
10	45.9945
6	83.3725
10	81.5444
2	32.3952
7	46.1684
9	67.3959
3	59.5226
7	13.4387
5	1.9492
10	12.5108
9	22.3276
12	44.9137
12	53.4532
7	99.0390
1	71.7347
5	98.0057
3	5.3738
12	63.6874
7	96.0382
11	26.9923
8	94.9407
6	90.2234
2	19.4648
12	73.3952
8	17.4861
2	10.5141
5	31.4113
11	34.8766
7	39.8962
7	28.3917
6	31.3912
3	71.8280
3	94.4647
4	8.7789
7	27.9534
7	59.6159
5	82.8435
11	78.2153
4	55.7239
8	3.6276
4	66.9372
4	84.8988
5	6.5465
10	36.0766
7	25.8051
8	43.2597
3	30.6071
2	96.6589
8	12.9933
12	21.7436
2	89.3394
3	62.1706
1	39.8162
11	35.6089
6	64.6573
6	73.3091
11	73.1701
6	95.8176
7	4.5954
9	42.4361
1	0.9017
7	70.3805
6	78.0892
11	56.4840
8	2.3295
2	0.7564
8	98.8969
2	20.1647
5	82.3338
7	36.0950
11	46.1253
8	11.0045
10	78.1262
2	45.3444
7	29.7102
11	35.8400
2	48.2436
8	43.1225
1	69.8823
5	67.5066
9	0.6871
2	7.8990
10	46.0627
8	77.7536
11	81.6764
8	63.1388
5	36.4876
8	88.7498
6	25.0927
2	6.6119
8	72.7151
12	76.6798
6	89.8326
8	76.6825
8	94.6883
3	53.5733
9	95.9781
2	97.8188
10	52.2100
3	84.5360
3	89.8027
9	93.1229
4	45.7640
